Energy(eV)           EEDF(eV^-(3/2))      Anisotropy(eV^-(3/2))
4.06250000000000e+00 7.17058571433021e-02 2.31265136872234e-02 
4.08750000000000e+00 7.11632002874321e-02 2.30219392613171e-02 
4.11250000000000e+00 7.06228822594424e-02 2.29176294915793e-02 
4.13750000000000e+00 7.00839636032547e-02 2.28136622507853e-02 
4.16250000000000e+00 6.95464484832307e-02 2.27098298679393e-02 
4.18750000000000e+00 6.90103452797280e-02 2.26059830417304e-02 
4.21250000000000e+00 6.84756378029902e-02 2.25020521011837e-02 
4.23750000000000e+00 6.79432062637465e-02 2.23979715535347e-02 
4.26250000000000e+00 6.74130519996902e-02 2.22938838320929e-02 
4.28750000000000e+00 6.68851763058850e-02 2.21898180303878e-02 
4.31250000000000e+00 6.63595804484673e-02 2.20857532862711e-02 
4.33750000000000e+00 6.58363400125813e-02 2.19817334216367e-02 
4.36250000000000e+00 6.53154531343700e-02 2.18779291058955e-02 
4.38750000000000e+00 6.47969135770535e-02 2.17744315928505e-02 
4.41250000000000e+00 6.42807150930638e-02 2.16711061506244e-02 
4.43750000000000e+00 6.37666701193482e-02 2.15677717229813e-02 
4.46250000000000e+00 6.32547829996711e-02 2.14644145363930e-02 
4.48750000000000e+00 6.27450555216181e-02 2.13611067361175e-02 
4.51250000000000e+00 6.22374893185201e-02 2.12578806241302e-02 
4.53750000000000e+00 6.17320421792795e-02 2.11548808444309e-02 
4.56250000000000e+00 6.12287096269767e-02 2.10522895875770e-02 
4.58750000000000e+00 6.07274833009582e-02 2.09501815664086e-02 
4.61250000000000e+00 6.02283548402075e-02 2.08485186736758e-02 
4.63750000000000e+00 5.97313219652928e-02 2.07470869732255e-02 
4.66250000000000e+00 5.92363886784232e-02 2.06455767344909e-02 
4.68750000000000e+00 5.87435632838301e-02 2.05438597362350e-02 
4.71250000000000e+00 5.82528538274019e-02 2.04418624797745e-02 
4.73750000000000e+00 5.77641537655059e-02 2.03394148749594e-02 
4.76250000000000e+00 5.72774813878226e-02 2.02363849069565e-02 
4.78750000000000e+00 5.67928556069600e-02 2.01327709038246e-02 
4.81250000000000e+00 5.63102946301834e-02 2.00285849061001e-02 
4.83750000000000e+00 5.58299431300598e-02 1.99238363487350e-02 
4.86250000000000e+00 5.53518162893564e-02 1.98186074543509e-02 
4.88750000000000e+00 5.48759279274471e-02 1.97129505700064e-02 
4.91250000000000e+00 5.44022914192929e-02 1.96068644700203e-02 
4.93750000000000e+00 5.39310473754013e-02 1.95003449944481e-02 
4.96250000000000e+00 5.34622073620699e-02 1.93934663719143e-02 
4.98750000000000e+00 5.29957810237726e-02 1.92862801781288e-02 
5.01250000000000e+00 5.25317774326717e-02 1.91788936318759e-02 
5.03750000000000e+00 5.20695738992793e-02 1.90715473244117e-02 
5.06250000000000e+00 5.16091782358766e-02 1.89642000258719e-02 
5.08750000000000e+00 5.11506004038352e-02 1.88568130305310e-02 
5.11250000000000e+00 5.06938501154873e-02 1.87494060510243e-02 
5.13750000000000e+00 5.02393397376337e-02 1.86419780616297e-02 
5.16250000000000e+00 4.97870721617999e-02 1.85346540421044e-02 
5.18750000000000e+00 4.93370479523820e-02 1.84274871488927e-02 
5.21250000000000e+00 4.88892673744192e-02 1.83204581932733e-02 
5.23750000000000e+00 4.84435840473801e-02 1.82136120946818e-02 
5.26250000000000e+00 4.79999985803935e-02 1.81070551140959e-02 
5.28750000000000e+00 4.75585080624809e-02 1.80008579466741e-02 
5.31250000000000e+00 4.71191095716435e-02 1.78949990984961e-02 
5.33750000000000e+00 4.66815096693007e-02 1.77894926128458e-02 
5.36250000000000e+00 4.62457097936664e-02 1.76843081626445e-02 
5.38750000000000e+00 4.58117111715573e-02 1.75794531141075e-02 
5.41250000000000e+00 4.53795147879482e-02 1.74748662313663e-02 
5.43750000000000e+00 4.49491289245770e-02 1.73704498286214e-02 
5.46250000000000e+00 4.45205602690541e-02 1.72662072171020e-02 
5.48750000000000e+00 4.40938127573462e-02 1.71621760187363e-02 
5.51250000000000e+00 4.36688901743942e-02 1.70583534715080e-02 
5.53750000000000e+00 4.32462168247454e-02 1.69546095023723e-02 
5.56250000000000e+00 4.28257953571830e-02 1.68508818416384e-02 
5.58750000000000e+00 4.24076303473215e-02 1.67471400409075e-02 
5.61250000000000e+00 4.19917259674051e-02 1.66433974552612e-02 
5.63750000000000e+00 4.15779504535493e-02 1.65397867413565e-02 
5.66250000000000e+00 4.11663041984741e-02 1.64365023011989e-02 
5.68750000000000e+00 4.07567821433054e-02 1.63336443358883e-02 
5.71250000000000e+00 4.03493792111856e-02 1.62312246557189e-02 
5.73750000000000e+00 3.99442227483597e-02 1.61290729631924e-02 
5.76250000000000e+00 3.95413138886272e-02 1.60268766546872e-02 
5.78750000000000e+00 3.91406618224082e-02 1.59244829271617e-02 
5.81250000000000e+00 3.87422752287794e-02 1.58218177703118e-02 
5.83750000000000e+00 3.83460430925404e-02 1.57188591179149e-02 
5.86250000000000e+00 3.79519792156753e-02 1.56157636393785e-02 
5.88750000000000e+00 3.75600894344318e-02 1.55126635462113e-02 
5.91250000000000e+00 3.71703792868829e-02 1.54096177036087e-02 
5.93750000000000e+00 3.67819660818941e-02 1.53069003623681e-02 
5.96250000000000e+00 3.63948591488286e-02 1.52044987435303e-02 
5.98750000000000e+00 3.60090677443069e-02 1.51024145289981e-02 
6.01250000000000e+00 3.56246007837874e-02 1.50004551214273e-02 
6.03750000000000e+00 3.52414887600260e-02 1.48982479511874e-02 
6.06250000000000e+00 3.48597585674750e-02 1.47956466317564e-02 
6.08750000000000e+00 3.44794368897488e-02 1.46926906537091e-02 
6.11250000000000e+00 3.41005497620258e-02 1.45895075240868e-02 
6.13750000000000e+00 3.37236668707903e-02 1.44861868928845e-02 
6.16250000000000e+00 3.33487982410631e-02 1.43828505962207e-02 
6.18750000000000e+00 3.29759538571352e-02 1.42795054477846e-02 
6.21250000000000e+00 3.26051432319284e-02 1.41760510420265e-02 
6.23750000000000e+00 3.22363892084676e-02 1.40723233078389e-02 
6.26250000000000e+00 3.18697096422450e-02 1.39683309556004e-02 
6.28750000000000e+00 3.15051193595479e-02 1.38641475737518e-02 
6.31250000000000e+00 3.11426325614287e-02 1.37598331277636e-02 
6.33750000000000e+00 3.07822600997484e-02 1.36553859787042e-02 
6.36250000000000e+00 3.04240164686770e-02 1.35506762243711e-02 
6.38750000000000e+00 3.00679203098631e-02 1.34456382411723e-02 
6.41250000000000e+00 2.97139895271328e-02 1.33400203308734e-02 
6.43750000000000e+00 2.93622724034675e-02 1.32333870116414e-02 
6.46250000000000e+00 2.90128101268977e-02 1.31256801712438e-02 
6.48750000000000e+00 2.86656380674289e-02 1.30170309332460e-02 
6.51250000000000e+00 2.83207903913286e-02 1.29075927613964e-02 
6.53750000000000e+00 2.79782893497976e-02 1.27975743815378e-02 
6.56250000000000e+00 2.76381582527025e-02 1.26870324493153e-02 
6.58750000000000e+00 2.73004216560136e-02 1.25759634477295e-02 
6.61250000000000e+00 2.69651032035390e-02 1.24643111657059e-02 
6.63750000000000e+00 2.66322745235817e-02 1.23519465828238e-02 
6.66250000000000e+00 2.63019652043119e-02 1.22388742998844e-02 
6.68750000000000e+00 2.59742025113598e-02 1.21251605792934e-02 
6.71250000000000e+00 2.56490126199029e-02 1.20109271245738e-02 
6.73750000000000e+00 2.53264120997421e-02 1.18963826336930e-02 
6.76250000000000e+00 2.50064160383156e-02 1.17816632705438e-02 
6.78750000000000e+00 2.46890379692090e-02 1.16668125809569e-02 
6.81250000000000e+00 2.43742906519547e-02 1.15519455418066e-02 
6.83750000000000e+00 2.40621763811017e-02 1.14371758149015e-02 
6.86250000000000e+00 2.37527030989580e-02 1.13224457131376e-02 
6.88750000000000e+00 2.34458812448565e-02 1.12076997613327e-02 
6.91250000000000e+00 2.31417205411862e-02 1.10929023608463e-02 
6.93750000000000e+00 2.28397814593262e-02 1.09780851748350e-02 
6.96250000000000e+00 2.25400859595309e-02 1.08631583379488e-02 
6.98750000000000e+00 2.22426560982387e-02 1.07481381287922e-02 
7.01250000000000e+00 2.19475129886427e-02 1.06331842716775e-02 
7.03750000000000e+00 2.16550992236322e-02 1.05184338186176e-02 
7.06250000000000e+00 2.13654132698203e-02 1.04040608488768e-02 
7.08750000000000e+00 2.10784539969653e-02 1.02900856640816e-02 
7.11250000000000e+00 2.07942197976464e-02 1.01765332074074e-02 
7.13750000000000e+00 2.05127078307150e-02 1.00635184958685e-02 
7.16250000000000e+00 2.02339099496040e-02 9.95122345161587e-03 
7.18750000000000e+00 1.99578131979731e-02 9.83973461268784e-03 
7.21250000000000e+00 1.96844043869260e-02 9.72911881368678e-03 
7.23750000000000e+00 1.94136632310428e-02 9.61943156897243e-03 
7.26250000000000e+00 1.91455743470898e-02 9.51059439169873e-03 
7.28750000000000e+00 1.88801250097563e-02 9.40254178373558e-03 
7.31250000000000e+00 1.86173022696947e-02 9.29520606994464e-03 
7.33750000000000e+00 1.83571016203559e-02 9.18845382958212e-03 
7.36250000000000e+00 1.80995173314823e-02 9.08223125650575e-03 
7.38750000000000e+00 1.78445431603787e-02 8.97655188494576e-03 
7.41250000000000e+00 1.75921724754751e-02 8.87157693224103e-03 
7.43750000000000e+00 1.73423806507555e-02 8.76762604572586e-03 
7.46250000000000e+00 1.70951425110149e-02 8.66487315427603e-03 
7.48750000000000e+00 1.68504324397205e-02 8.56332628011987e-03 
7.51250000000000e+00 1.66082249711392e-02 8.46297212773168e-03 
7.53750000000000e+00 1.63684952640735e-02 8.36378916639754e-03 
7.56250000000000e+00 1.61312187677471e-02 8.26575338470406e-03 
7.58750000000000e+00 1.58963713879533e-02 8.16884969982737e-03 
7.61250000000000e+00 1.56639291452709e-02 8.07307191017834e-03 
7.63750000000000e+00 1.54338679204317e-02 7.97840988883164e-03 
7.66250000000000e+00 1.52061636032878e-02 7.88484451260914e-03 
7.68750000000000e+00 1.49807929977754e-02 7.79236068601098e-03 
7.71250000000000e+00 1.47577330178482e-02 7.70095612716312e-03 
7.73750000000000e+00 1.45371498626196e-02 7.61058112745183e-03 
7.76250000000000e+00 1.43190164037088e-02 7.52126787034115e-03 
7.78750000000000e+00 1.41033050677968e-02 7.43301757583903e-03 
7.81250000000000e+00 1.38899885375596e-02 7.34585841317732e-03 
7.83750000000000e+00 1.36789745455574e-02 7.25984903718765e-03 
7.86250000000000e+00 1.34702344482481e-02 7.17495615872985e-03 
7.88750000000000e+00 1.32637414148329e-02 7.09114156512878e-03 
7.91250000000000e+00 1.30594688444789e-02 7.00835613059040e-03 
7.93750000000000e+00 1.28569919728332e-02 6.92663762711111e-03 
7.96250000000000e+00 1.26562957842478e-02 6.84588920051662e-03 
7.98750000000000e+00 1.24573660092302e-02 6.76609243150931e-03 
8.01250000000000e+00 1.22601882252344e-02 6.68727926331825e-03 
8.03750000000000e+00 1.20650184467980e-02 6.60941569357906e-03 
8.06250000000000e+00 1.18718346363758e-02 6.53253318285251e-03 
8.08750000000000e+00 1.16806148276849e-02 6.45661897776025e-03 
8.11250000000000e+00 1.14913371263302e-02 6.38169644756974e-03 
8.13750000000000e+00 1.13041333286980e-02 6.30777261831703e-03 
8.16250000000000e+00 1.11189754875790e-02 6.23489108113389e-03 
8.18750000000000e+00 1.09358354736818e-02 6.16304769781117e-03 
8.21250000000000e+00 1.07546854669518e-02 6.09224808119562e-03 
8.23750000000000e+00 1.05754455541369e-02 6.02252171501845e-03 
8.26250000000000e+00 1.03980877963475e-02 5.95385066990340e-03 
8.28750000000000e+00 1.02225850979314e-02 5.88621353436467e-03 
8.31250000000000e+00 1.00489106213125e-02 5.81956411847040e-03 
8.33750000000000e+00 9.87670757904945e-03 5.75393136576917e-03 
8.36250000000000e+00 9.70595843612319e-03 5.68925458508609e-03 
8.38750000000000e+00 9.53664561373727e-03 5.62552782078764e-03 
8.41250000000000e+00 9.36875144992870e-03 5.56245492662022e-03 
8.43750000000000e+00 9.20229683532074e-03 5.49947069806941e-03 
8.46250000000000e+00 9.03729698619393e-03 5.43632923798174e-03 
8.48750000000000e+00 8.87376636938612e-03 5.37306728557356e-03 
8.51250000000000e+00 8.71171833896326e-03 5.30973062339158e-03 
8.53750000000000e+00 8.55116403678799e-03 5.24636904440049e-03 
8.56250000000000e+00 8.39211383049230e-03 5.18301936664996e-03 
8.58750000000000e+00 8.23457721723537e-03 5.11971273802141e-03 
8.61250000000000e+00 8.07856264534433e-03 5.05626961670153e-03 
8.63750000000000e+00 7.92431493008141e-03 4.99223630854950e-03 
8.66250000000000e+00 7.77186214082462e-03 4.92747401476058e-03 
8.68750000000000e+00 7.62123071014218e-03 4.86204269147836e-03 
8.71250000000000e+00 7.47244516372660e-03 4.79600311135421e-03 
8.73750000000000e+00 7.32552853568159e-03 4.72941223445424e-03 
8.76250000000000e+00 7.18050194766554e-03 4.66232833226893e-03 
8.78750000000000e+00 7.03738472404916e-03 4.59481018711789e-03 
8.81250000000000e+00 6.89619444450781e-03 4.52694729968949e-03 
8.83750000000000e+00 6.75694238724874e-03 4.45885579155172e-03 
8.86250000000000e+00 6.61963933242576e-03 4.39061188650677e-03 
8.88750000000000e+00 6.48429446548794e-03 4.32226055316623e-03 
8.91250000000000e+00 6.35091555666768e-03 4.25384543946500e-03 
8.93750000000000e+00 6.21949606739829e-03 4.18540645521551e-03 
8.96250000000000e+00 6.09004195767288e-03 4.11697090985656e-03 
8.98750000000000e+00 5.96255821465721e-03 4.04857403754153e-03 
9.01250000000000e+00 5.83704854403948e-03 3.98008667443750e-03 
9.03750000000000e+00 5.71366326967881e-03 3.91116488649244e-03 
9.06250000000000e+00 5.59242075659405e-03 3.84172398899075e-03 
9.08750000000000e+00 5.47333705680264e-03 3.77182977225262e-03 
9.11250000000000e+00 5.35642629794043e-03 3.70154238559916e-03 
9.13750000000000e+00 5.24165873762758e-03 3.63094117502805e-03 
9.16250000000000e+00 5.12904597062050e-03 3.56007708038687e-03 
9.18750000000000e+00 5.01859791377687e-03 3.48900187019152e-03 
9.21250000000000e+00 4.91032289332664e-03 3.41797548870931e-03 
9.23750000000000e+00 4.80414983734715e-03 3.34747822353312e-03 
9.26250000000000e+00 4.70006035834349e-03 3.27771446133853e-03 
9.28750000000000e+00 4.59803639777259e-03 3.20868806354385e-03 
9.31250000000000e+00 4.49805963268274e-03 3.14040572817119e-03 
9.33750000000000e+00 4.40012120431504e-03 3.07286765804351e-03 
9.36250000000000e+00 4.30420201844358e-03 3.00607738966234e-03 
9.38750000000000e+00 4.21028284737123e-03 2.94003657188366e-03 
9.41250000000000e+00 4.11834431097294e-03 2.87491744002350e-03 
9.43750000000000e+00 4.02833267000881e-03 2.81105589615648e-03 
9.46250000000000e+00 3.94020854118300e-03 2.74858495259211e-03 
9.48750000000000e+00 3.85393336684676e-03 2.68747495386739e-03 
9.51250000000000e+00 3.76946934129557e-03 2.62769135205641e-03 
9.53750000000000e+00 3.68677265430190e-03 2.56919613111827e-03 
9.56250000000000e+00 3.60580810300516e-03 2.51195007962026e-03 
9.58750000000000e+00 3.52654132929745e-03 2.45592453509611e-03 
9.61250000000000e+00 3.44893861098703e-03 2.40110873240041e-03 
9.63750000000000e+00 3.37302446018749e-03 2.34746394557922e-03 
9.66250000000000e+00 3.29876363350552e-03 2.29497556338733e-03 
9.68750000000000e+00 3.22612159306857e-03 2.24361587199981e-03 
9.71250000000000e+00 3.15506451519965e-03 2.19336350816511e-03 
9.73750000000000e+00 3.08555887051478e-03 2.14419667277818e-03 
9.76250000000000e+00 3.01757214661632e-03 2.09608777368732e-03 
9.78750000000000e+00 2.95107270016440e-03 2.04901090975180e-03 
9.81250000000000e+00 2.88602954006822e-03 2.00294346085399e-03 
9.83750000000000e+00 2.82243516916522e-03 1.95784856328636e-03 
9.86250000000000e+00 2.76025909297705e-03 1.91370720301788e-03 
9.88750000000000e+00 2.69947167362021e-03 1.87049912396189e-03 
9.91250000000000e+00 2.64004390549761e-03 1.82821443390921e-03 
9.93750000000000e+00 2.58196295258771e-03 1.78684223398159e-03 
9.96250000000000e+00 2.52519938686975e-03 1.74637259302025e-03 
9.98750000000000e+00 2.46972442908732e-03 1.70678503587634e-03 
1.00125000000000e+01 2.41550995537373e-03 1.66805657761359e-03 
1.00375000000000e+01 2.36245465086324e-03 1.63020961424538e-03 
1.00625000000000e+01 2.31053396106166e-03 1.59321662784214e-03 
1.00875000000000e+01 2.25972386040663e-03 1.55705863826002e-03 
1.01125000000000e+01 2.21000081722176e-03 1.52171816748748e-03 
1.01375000000000e+01 2.16134263300623e-03 1.48717869829498e-03 
1.01625000000000e+01 2.11372658784102e-03 1.45342398284968e-03 
1.01875000000000e+01 2.06713039779951e-03 1.42043691305791e-03 
