**************************************
*    e-Kinetics Rate Coefficients    *
**************************************

ID   Ine.R.Coeff.(m^3s^-1) Sup.R.Coeff.(m^3s^-1) Threshold(eV)         Description
 102 1.54925361111886e-17  (N/A)                 6.80000000000000e+00  e+CO(X,v=0)->e+CO(a'3Su+),Excitation
 103 2.49325736335486e-17  (N/A)                 8.02400000000000e+00  e+CO(X,v=0)->e+CO(A1P),Excitation
 104 7.86418537563811e-20  (N/A)                 1.03990000000000e+01  e+CO(X,v=0)->e+CO(b3Su+),Excitation
 105 4.20872160298404e-20  (N/A)                 1.07770000000000e+01  e+CO(X,v=0)->e+CO(B1Su+),Excitation
 106 5.50161974681917e-20  (N/A)                 1.11000000000000e+01  e+CO(X,v=0)->e+C(X)+O(3P),Excitation
 107 8.57114766700392e-21  (N/A)                 1.13960000000000e+01  e+CO(X,v=0)->e+CO(C1Su+),Excitation
 108 3.98578364714946e-20  (N/A)                 1.15240000000000e+01  e+CO(X,v=0)->e+CO(E1P),Excitation
 109 6.41970388769366e-22  (N/A)                 1.40100000000000e+01  e+CO(X,v=0)->e+e+CO(+,X),Ionization
 110 9.86764668217836e-22  (N/A)                 1.37442700000000e+01  e+CO(X,v=1)->e+e+CO(+,X),Ionization
 111 1.50645433018130e-21  (N/A)                 0.00000000000000e+00  e+CO(X,v=2)->e+e+CO(+,X),Ionization
 112 2.28476263554335e-21  (N/A)                 1.32227100000000e+01  e+CO(X,v=3)->e+e+CO(+,X),Ionization
 113 3.44293435936574e-21  (N/A)                 0.00000000000000e+00  e+CO(X,v=4)->e+e+CO(+,X),Ionization
 114 5.15625168880809e-21  (N/A)                 0.00000000000000e+00  e+CO(X,v=5)->e+e+CO(+,X),Ionization
 115 7.67316567583629e-21  (N/A)                 1.24650700000000e+01  e+CO(X,v=6)->e+e+CO(+,X),Ionization
 116 1.13494888145868e-20  (N/A)                 1.22191200000000e+01  e+CO(X,v=7)->e+e+CO(+,X),Ionization
 117 1.66799602290629e-20  (N/A)                 0.00000000000000e+00  e+CO(X,v=8)->e+e+CO(+,X),Ionization
 118 2.43526162488613e-20  (N/A)                 1.17371000000000e+01  e+CO(X,v=9)->e+e+CO(+,X),Ionization
 119 3.53262985820002e-20  (N/A)                 1.15010300000000e+01  e+CO(X,v=10)->e+e+CO(+,X),Ionization
  99 1.05922543916280e-15  (N/A)                 6.00000000000000e+00  e+O3(X)->e+O(3P)+O2(X),Excitation

**************************************
*     Chemistry Rate Coefficients    *
**************************************

ID   Dir.R.Coeff.(S.I.)    Inv.R.Coeff.(S.I.)    Enthalpy(eV)          Net.Reac.Rate(m^-3s^-1) Description
   1 4.60859244315472e-16  1.13587253871961e-15  +0.00000000000000e+00 +2.25470304040286e+22   e+O2(X)<->e+O2(a1Dg),eedf
   2 1.09191780474789e-16  7.16609879621320e-16  +0.00000000000000e+00 +7.02339855708618e+21   e+O2(X)<->e+O2(b1Sg+),eedf
   3 2.00374273958642e-15  5.24301321496945e-15  +0.00000000000000e+00 +1.25300561409614e+22   e+O2(a1Dg)<->e+O2(b1Sg+),eedf
   4 1.62671589650428e-15  7.32286141796704e-15  +0.00000000000000e+00 +1.55345367251425e+22   e+O(3P)<->e+O(1D),eedf
   5 1.46936751293667e-16  5.56395319234442e-16  +0.00000000000000e+00 +9.57463583689544e+21   e+O2(X)<->e+O2(A3Su+_C3Du_c1Su-),eedf
   6 1.54527212165863e-16  (N/A)                 +8.40000000000000e-01 +1.00704602253790e+22   e+O2(X)->e+2O(3P),eedf
   7 5.73178756666972e-17  (N/A)                 +1.27000000000000e+00 +3.73537695409357e+21   e+O2(X)->e+O(3P)+O(1D),eedf
   8 5.51213149630045e-16  (N/A)                 +8.40000000000000e-01 +3.63323874191511e+21   e+O2(a1Dg)->e+2O(3P),eedf
   9 2.08498894972302e-16  (N/A)                 +1.27000000000000e+00 +1.37428917174469e+21   e+O2(a1Dg)->e+O(3P)+O(1D),eedf
  10 9.89753603183690e-16  (N/A)                 +8.40000000000000e-01 +1.27860321505212e+20   e+O2(b1Sg+)->e+2O(3P),eedf
  11 4.20705734740497e-16  (N/A)                 +1.27000000000000e+00 +5.43484462496300e+19   e+O2(b1Sg+)->e+O(3P)+O(1D),eedf
  12 1.05922543916280e-15  (N/A)                 +4.90000000000000e+00 +2.56208331786794e+18   e+O3(X)->e+O(3P)+O2(X),eedf
  13 8.34331397481418e-21  (N/A)                 +0.00000000000000e+00 +5.43729549983923e+17   e+O2(X)->2e+O2(+,X),eedf
  14 3.44862863642833e-20  (N/A)                 +0.00000000000000e+00 +2.27311180380200e+17   e+O2(a1Dg)->2e+O2(+,X),eedf
  15 1.51092407708800e-21  (N/A)                 +0.00000000000000e+00 +1.44302072864505e+16   e+O(3P)->2e+O(+,gnd),eedf
  16 9.98638607944602e-15  (N/A)                 +0.00000000000000e+00 +3.51983642395793e+16   e+O(-,gnd)->2e+O(3P),eedf
  17 1.79335254184318e-25  (N/A)                 +0.00000000000000e+00 +1.16871877707399e+13   e+O2(X)->2e+O(3P)+O(+,gnd),eedf
  18 9.23293643284818e-25  (N/A)                 +0.00000000000000e+00 +6.08575146873366e+12   e+O2(a1Dg)->2e+O(3P)+O(+,gnd),eedf
  19 1.89341288160303e-17  (N/A)                 +1.27000000000000e+00 +1.23392759418563e+21   e+O2(X)->O(-,gnd)+O(3P),eedf
  20 1.13210801476728e-16  (N/A)                 +1.27000000000000e+00 +7.46212005654387e+20   e+O2(a1Dg)->O(-,gnd)+O(3P),eedf
  21 5.53206664354414e-15  (N/A)                 +6.91000000000000e+00 +1.52691737969844e+17   e+O2(+,X)->2O(3P),powerElectronTemp
  22 9.83478514407847e-15  (N/A)                 +4.95000000000000e+00 +2.71451978613056e+17   e+O2(+,X)->O(3P)+O(1D),powerElectronTemp
  23 7.00000000000000e-22  (N/A)                 +9.80000000000000e-01 +1.83215872899064e+21   O2(a1Dg)+O(3P)->O2(X)+O(3P),constantRateCoeff
  24 3.00000000000000e-44  (N/A)                 +9.80000000000000e-01 +1.04342452499208e+21   O2(a1Dg)+O(3P)+O2(X)->O2(X)+O(3P)+O2(X),constantRateCoeff
  25 2.35917633554347e-23  (N/A)                 +3.30000000000000e-01 +4.26157266920801e+19   2O2(a1Dg)->O2(b1Sg+)+O2(X),modifiedArrheniusGasTemp
  26 2.46857756046506e-24  (N/A)                 +9.80000000000000e-01 +4.40885944927152e+19   O2(a1Dg)+O2(X)->O2(X)+O2(X),powerGasTemp
  27 4.00000000000000e-20  (N/A)                 +6.50000000000000e-01 +2.05191506943591e+21   O2(b1Sg+)+O(3P)->O2(a1Dg)+O(3P),constantRateCoeff
  28 4.23012201956983e-20  (N/A)                 +1.63000000000000e+00 +2.16996277937701e+21   O2(b1Sg+)+O(3P)->O2(X)+O(3P),arrheniusSumGasTemp
  29 1.81087690337276e-22  (N/A)                 -3.30000000000000e-01 +9.28941401731004e+18   O2(b1Sg+)+O(3P)->O2(X)+O(1D),modifiedArrheniusGasTemp
  30 4.95000000000000e-18  (N/A)                 +4.50000000000000e+00 +4.09054634505567e+21   O2(A3Su+_C3Du_c1Su-)+O(3P)->O2(X)+O(3P),constantRateCoeff
  31 2.70000000000000e-18  (N/A)                 +1.56000000000000e+00 +2.23120709730309e+21   O2(A3Su+_C3Du_c1Su-)+O(3P)->O(1D)+O2(a1Dg),constantRateCoeff
  32 1.35000000000000e-18  (N/A)                 +9.10000000000000e-01 +1.11560354865155e+21   O2(A3Su+_C3Du_c1Su-)+O(3P)->O(1D)+O2(b1Sg+),constantRateCoeff
  33 2.30000000000000e-20  (N/A)                 +4.50000000000000e+00 +1.29693549320264e+20   O2(A3Su+_C3Du_c1Su-)+O2(X)->O2(X)+O2(X),constantRateCoeff
  34 1.86000000000000e-19  (N/A)                 +3.52000000000000e+00 +1.04882609450301e+21   O2(A3Su+_C3Du_c1Su-)+O2(X)->O2(a1Dg)+O2(X),constantRateCoeff
  35 2.10000000000000e-20  (N/A)                 +2.87000000000000e+00 +1.18415849379372e+20   O2(A3Su+_C3Du_c1Su-)+O2(X)->O2(b1Sg+)+O2(X),constantRateCoeff
  36 8.00000000000000e-18  (N/A)                 +1.96000000000000e+00 +6.72430652053896e+20   O(1D)+O(3P)->O(3P)+O(3P),constantRateCoeff
  37 3.36623465181767e-45  (N/A)                 +5.16000000000000e+00 +1.69644479904239e+20   2O(3P)+O2(X)->O2(X)+O2(X),modifiedArrheniusGasTemp
  38 2.22171487019966e-45  (N/A)                 +4.18000000000000e+00 +1.11965356736797e+20   2O(3P)+O2(X)->O2(a1Dg)+O2(X),modifiedArrheniusGasTemp
  39 1.14451978161801e-45  (N/A)                 +3.53000000000000e+00 +5.76791231674411e+19   2O(3P)+O2(X)->O2(b1Sg+)+O2(X),modifiedArrheniusGasTemp
  40 6.27999998255802e-45  (N/A)                 +5.16000000000000e+00 +4.63810490909891e+19   2O(3P)+O(3P)->O2(X)+O(3P),powerGasTemp
  41 8.49345133520642e-18  (N/A)                 +1.96000000000000e+00 +4.87142632846535e+21   O(1D)+O2(X)->O(3P)+O2(X),arrheniusGasTemp
  42 9.70680152595019e-19  (N/A)                 +9.80000000000000e-01 +5.56734437538897e+20   O(1D)+O2(X)->O(3P)+O2(a1Dg),arrheniusGasTemp
  43 3.10617648830406e-17  (N/A)                 +3.30000000000000e-01 +1.78155020012447e+22   O(1D)+O2(X)->O(3P)+O2(b1Sg+),arrheniusGasTemp
  44 1.50000000000000e-17  (N/A)                 +5.50000000000000e-01 +1.94879235419367e+20   O2(b1Sg+)+O3(X)->2O2(X)+O(3P),constantRateCoeff
  45 1.20000000000000e-16  (N/A)                 +6.04000000000000e+00 +2.55454571773937e+18   O(1D)+O3(X)->2O2(X),constantRateCoeff
  46 1.20000000000000e-16  (N/A)                 +8.80000000000000e-01 +2.55454571773937e+18   O(1D)+O3(X)->O2(X)+2O(3P),constantRateCoeff
  47 1.43216436388161e-20  (N/A)                 -1.00000000000000e-01 +9.49364171153460e+18   O2(a1Dg)+O3(X)->2O2(X)+O(3P),arrheniusGasTemp
  48 1.17797325474142e-20  (N/A)                 +4.08000000000000e+00 +1.13143853300631e+19   O(3P)+O3(X)->2O2(X),arrheniusGasTemp
  49 7.77462348129336e-21  (N/A)                 +3.10000000000000e+00 +7.46749431784165e+18   O(3P)+O3(X)->O2(a1Dg)+O2(X),arrheniusGasTemp
  50 4.00510906612082e-21  (N/A)                 +2.45000000000000e+00 +3.84689101222145e+18   O(3P)+O3(X)->O2(b1Sg+)+O2(X),arrheniusGasTemp
  51 2.00000000000000e-19  (N/A)                 +7.00000000000001e-02 +2.90354927751658e+18   O3(exc)+O(3P)->O3(X)+O(3P),constantRateCoeff
  52 3.00000000000000e-21  (N/A)                 +7.00000000000001e-02 +2.97190471690816e+17   O3(exc)+O2(X)->O3(X)+O2(X),constantRateCoeff
  53 6.33412906520775e-18  (N/A)                 -3.00000000000002e-02 +6.34644547236854e+19   O2(a1Dg)+O3(exc)->2O2(X)+O(3P),arrheniusGasTemp
  54 1.85162444098454e-18  (N/A)                 +4.15000000000000e+00 +2.68814140392635e+19   O(3P)+O3(exc)->2O2(X),arrheniusGasTemp
  55 5.68440950057249e-46  (N/A)                 +1.08000000000000e+00 +2.86471025650758e+19   O(3P)+O2(X)+O(3P)->O3(X)+O(3P),arrheniusGasTemp
  56 1.43146544104819e-46  (N/A)                 +1.08000000000000e+00 +4.92255565579149e+19   O(3P)+O2(X)+O2(X)->O3(X)+O2(X),arrheniusGasTemp
  57 2.90630862273421e-46  (N/A)                 +1.01000000000000e+00 +9.99427966478879e+19   O(3P)+O2(X)+O2(X)->O3(exc)+O2(X),arrheniusGasTemp
  58 5.26815222017049e-46  (N/A)                 +1.08000000000000e+00 +6.72401354848741e+15   O(3P)+O2(X)+O3(X)->O3(X)+O3(X),expGasTemp
  59 1.00000000000000e-18  (N/A)                 +0.00000000000000e+00 +9.55034892983438e+18   O(-,gnd)+O2(X)->e+O3(X),constantRateCoeff
  60 1.42500000000000e-16  (N/A)                 +0.00000000000000e+00 +1.37646166811538e+20   O(-,gnd)+O2(a1Dg)->e+O3(X),constantRateCoeff
  61 1.30000000000000e-15  (N/A)                 +0.00000000000000e+00 +1.81948370437652e+21   O(-,gnd)+O(3P)->e+O2(X),constantRateCoeff
  62 6.90000000000000e-16  (N/A)                 +0.00000000000000e+00 +1.30626918409123e+19   O(-,gnd)+O2(b1Sg+)->e+O(3P)+O2(X),constantRateCoeff
  63 2.80000000000000e-13  (N/A)                 +1.20700000000000e+01 +1.06666348331401e+13   O(+,gnd)+O(-,gnd)->2O(3P),constantRateCoeff
  64 1.00000000000000e-16  (N/A)                 +5.61000000000000e+00 +2.61432823451972e+12   O(+,gnd)+O3(X)->O2(+,X)+O2(X),constantRateCoeff
  65 1.86107954398244e-17  (N/A)                 +1.53000000000000e+00 +1.31088487226526e+16   O(+,gnd)+O2(X)->O2(+,X)+O(3P),powerGasTemp
  66 1.86107954398244e-17  (N/A)                 +2.51000000000000e+00 +1.32585053982190e+15   O(+,gnd)+O2(a1Dg)->O2(+,X)+O(3P),powerGasTemp
  67 8.93318181111573e-14  (N/A)                 +1.05400000000000e+01 +3.61334307415620e+17   O2(+,X)+O(-,gnd)->O2(X)+O(3P),powerGasTemp
  68 5.24964632675961e+00  (N/A)                 +9.80000000000000e-01 +7.05561367400921e+21   O2(a1Dg)+Wall->O2(X),multicomponentTransportChantry
  69 1.29400039389643e+03  (N/A)                 +1.63000000000000e+00 +3.40857998721868e+22   O2(b1Sg+)+Wall->O2(X),multicomponentTransportChantry
  70 1.98034553329649e+03  (N/A)                 +4.50000000000000e+00 +8.40343380290779e+20   O2(A3Su+_C3Du_c1Su-)+Wall->O2(X),multicomponentTransportChantry
  71 1.92242963677697e+01  (N/A)                 +2.58000000000000e+00 +3.74378380660094e+22   O(3P)+Wall->5.000000e-01O2(X),wallReactionSimpler
  72 3.09813323482354e+03  (N/A)                 +1.96000000000000e+00 +1.33720286158885e+20   O(1D)+Wall->O(3P),multicomponentTransportChantry
