p(Torr) I(mA) Twall Flow(sccm) fracCO2 fracO2 lossFreq(s-1) E/N(Td) Te(eV) n_e(m-3) GasTemp(K) NearWallTemp(K) [O2(X)](m^-3) [O2(a1Dg)](m^-3) [O2(b1Sg+)](m^-3) [O2(+,X)](m^-3) [O(3P)](m^-3) [O(1D)](m^-3) [O(+,gnd)](m^-3) [O(-,gnd)](m^-3) [O3(X)](m^-3) [O3(exc)](m^-3) [CO2(X)](m^-3) [CO2(+,X)](m^-3) [CO(X)](m^-3) [CO(a3P)](m^-3) [CO(+,X)](m^-3) [C(X)](m^-3) 
1 20 298.15 7.796400000000001 0.5 0.5 12.7720379372 70.1891360779285 2.15366424005172 3347350723348391 352.817790422407 304.263698768159 1.03569456626921e+22 6.1420105662338e+20 4.10134842393839e+18 3751293871650760 4.59955512192445e+21 3.19640500542336e+16 2387505701590.12 426056171791268 1.15027578180235e+18 9587590639697190 8.823956214869999e+21 16740166598938 2.96854739352582e+21 5094805548522000 491064153092.956 203228607522106 
1.5 20 298.15 7.796400000000001 0.5 0.5 13.6705079949 64.4238348164052 2.01408528767828 3554920192465034 368.546812913409 306.206764899386 1.58900013644353e+22 9.256379695741131e+20 3.8964302261993e+18 4002304493314160 5.19111949862009e+21 2.42596215786886e+16 851143166937.984 456968070703154 1.76503147897947e+18 1.75394480214719e+16 1.30319335807803e+22 8477960944037.89 4.25723011393105e+21 4485731360371460 199503213223.306 120954942319841 
2 20 298.15 7.796400000000001 0.5 0.5 15.1919956775 60.9902311876011 1.92874620074811 3692094827986944 382.10153447783 307.957751687799 2.13963134369738e+22 1.21684011460618e+21 3.659160727728e+18 4171963614670560 5.32160016889571e+21 1.92494752739446e+16 388709110539.22 487859485651833 2.1813133453291e+18 2.49851499200179e+16 1.72439544913099e+22 5354829555876.68 5.35798368513822e+21 4061655517148700 102565883946.89 84157330856390.7 
3 20 298.15 7.796400000000001 0.5 0.5 15.9372702013 56.5051940066378 1.82026783438043 3873328329337982 404.302635548883 311.028534060904 3.15877083659576e+22 1.73088409049132e+21 3.30458926487411e+18 4385010558662010 5.73225553380562e+21 1.41671598432419e+16 134178225895.052 516699768992447 2.73315645611749e+18 3.79910043642263e+16 2.53978998179912e+22 2707722669892.12 7.19619220319587e+21 3354994428633720 39797146500.7005 51385407752828.7 
5 20 298.15 7.796400000000001 0.5 0.5 23.6261569081 52.0031015815783 1.70918944374524 4056976628191605 439.573256625334 316.314490676941 5.11150443170016e+22 2.58408922699635e+21 2.70416302668317e+18 4651759092190680 4.82277743827961e+21 8458768182140240 28297623491.7163 596940574969966 2.86404626000093e+18 4.93701536603533e+16 4.16937800380729e+22 1247681166852.27 9.615881223087271e+21 2535583686062000 11317872988.5777 26534388822760.7 
1 40 298.15 7.796400000000001 0.5 0.5 20.8568399172 70.9402836314846 2.13603879083828 6628056548867819 389.621979446245 309.345954043661 8.67250818222231e+21 6.65181449998774e+20 1.03065777417449e+19 7233031485404830 5.25097740024612e+21 8.46611846212645e+16 8088245004984.65 645988980461638 5.022218033549e+17 4744829930784350 6.60422817058041e+21 31797437698173 3.58003147057033e+21 1.23372840800908e+16 1922360188492.16 666827626429384 
1.5 40 298.15 7.796400000000001 0.5 0.5 23.0683581967 65.5519493977731 1.99808250970773 7040269054588576 413.678978310614 312.773076110903 1.33357113782673e+22 9.944409538121191e+20 9.776596325196491e+18 7736920888638210 5.88217275902553e+21 6.44008853773912e+16 2965311746701.39 716812657214320 7.11259781149684e+17 8216681102419090 9.808617050697319e+21 17104226729607.1 4.982333696678361e+21 1.09443902953432e+16 786298647219.4189 394639704097827 
2 40 298.15 7.796400000000001 0.5 0.5 22.7691283868 61.8850040803442 1.90795458726993 7322145317689148 432.984642277447 315.736273266808 1.75918181742617e+22 1.28682224973329e+21 9.22560949797316e+18 8049027944048880 6.61785174604719e+21 5.40891010267268e+16 1504184391090.9 742661856812029 8.56588538956123e+17 1.14729174744793e+16 1.28939283338308e+22 10628482721143.4 6.2027906806204e+21 9694028476460700 414534425298.749 278654185294285 
3 40 298.15 7.796400000000001 0.5 0.5 26.2095422355 57.7807008478267 1.80680390820006 7669665276211670 465.641567608344 321.034700036588 2.61524909020869e+22 1.83438847324289e+21 8.11418185800035e+18 8493815081289510 6.85211067133308e+21 3.90323312132067e+16 519257486077.207 830335784502254 9.82827831613569e+17 1.65771350196478e+16 1.92496136903456e+22 5891078342030.95 8.11529999480592e+21 8265093283648690 161118682728.818 169692676382195 
5 40 298.15 7.796400000000001 0.5 0.5 34.7727154884 53.3199606208325 1.70043974185107 8032572921602436 515.420628320112 329.946968866903 4.19715461079735e+22 2.75643428849781e+21 6.49849520767808e+18 8999420063212930 6.34993773495504e+21 2.41991573661844e+16 124296232542.09 977134901924188 9.99119189523993e+17 2.17898345088072e+16 3.1940878406739e+22 2890510139682.72 1.06467416810617e+22 6400395900924570 46583010445.5995 89217501537242.8 
7.5 40 298.15 7.796400000000001 0.5 0.5 40.119462706 50.0626948529117 1.63504530401285 8301659146482208 561.862453235737 339.230523340752 5.92183856307103e+22 3.70991547173617e+21 5.47092969751265e+18 9391214528265600 6.24979283027296e+21 1.72777116364912e+16 42890298143.6732 1095120238977110 9.65039930095776e+17 2.5583495911866e+16 4.70146036471155e+22 1597515218818.25 1.26970412032457e+22 4933440898747490 17578442007.2135 53150737395452.7 
7.5 40 323.15 7.796400000000001 0.5 0.5 34.8618356198 50.2069005946222 1.63774512781197 8282654194915253 575.970129681131 363.339669427234 5.72519702878187e+22 3.58882824844021e+21 5.52033834617243e+18 9342519598093980 6.89368571775714e+21 1.87205992413267e+16 50892877769.8343 1065075202382540 8.5713974788542e+17 2.45989970522142e+16 4.54050123446173e+22 1623296905107.66 1.2592989111043e+22 4968670248631790 19221180404.1147 55571873836275 
1 20 278.15 7.796400000000001 0.5 0.5 13.5327942922 69.57236281716941 2.13634221821634 3372656681386437 337.135855251376 284.491380358047 1.10376563715496e+22 6.58092989501742e+20 4.0288132817517e+18 3786649206812670 4.52719840029528e+21 2.98571328858023e+16 2035025848546.17 433911953130315 1.58339202550652e+18 1.27035871784395e+16 9.30779635730319e+21 15681343686730.8 3.10532405459202e+21 5079156730321270 435171632405.463 188414234798619 
1 40 278.15 7.796400000000001 0.5 0.5 21.0362411337 70.281608462425 2.11962606115594 6675362862431933 375.200784718331 289.669456998349 9.08854833888617e+21 6.995088058502119e+20 1.02536493262743e+19 7284403411774130 5.32948773320042e+21 8.133039274393139e+16 7252621475450.82 646896505009200 6.35179257927927e+17 5913659759073370 6.8955922614135e+21 29662384413139.4 3.71230184556705e+21 1.21720157488737e+16 1741987015112.99 628325341413006 
1.5 20 278.15 7.796400000000001 0.5 0.5 15.5558908555 64.12032600411879 2.00299259523353 3575076474896118 353.861090740594 286.500347667124 1.6948738589686e+22 9.87362161273213e+20 3.79691124034723e+18 4041381504447850 4.83191363355811e+21 2.21056270179569e+16 699473174593.848 475414426591273 2.35698546253936e+18 2.2232524653367e+16 1.37566063127643e+22 8219191423909.52 4.40188354157576e+21 4519914210242090 176177745547.746 112364371401687 
1.5 40 278.15 7.796400000000001 0.5 0.5 22.5465003918 64.91998295467801 1.98375322735404 7084400263600676 399.774836226549 293.137581014715 1.38061355535447e+22 1.03522836794914e+21 9.739033039937669e+18 7773718172246920 6.06529190355438e+21 6.27613553643036e+16 2725986557816.11 707851933180043 8.96270709710258e+17 9935369930757870 1.01724918094405e+22 15831651132171.6 5.14175939345904e+21 1.07037967012408e+16 719918248124.225 376439827832249 
2 20 278.15 7.796400000000001 0.5 0.5 14.8638104862 60.3764884565785 1.91464814290553 3714562293648230 367.382154768209 288.247241368173 2.22905991955935e+22 1.27870180859867e+21 3.61760278994311e+18 4189213889383940 5.45805235406257e+21 1.8519322945751e+16 348959352240.072 482223255366904 2.99639776713844e+18 3.13983738751845e+16 1.79876370847037e+22 4908943098358.1 5.54590465276726e+21 3960185304019570 92212831674.1425 79603314429449.09 
2 40 278.15 7.796400000000001 0.5 0.5 21.3467673923 61.2359976820131 1.89365707154571 7364092008362086 419.290760770193 296.121307642268 1.80444700041315e+22 1.3307396877001e+21 9.237192051772281e+18 8070764353185380 6.99057140200805e+21 5.36713705249522e+16 1422824665156.68 722072883357965 1.08001021722036e+18 1.36855114924848e+16 1.3288743195222e+22 9709615817201.99 6.39510037473384e+21 9395265858921610 383608037208.456 268085716046190 
3 20 278.15 7.796400000000001 0.5 0.5 16.5121042381 56.1107485048163 1.8107172380562 3890810910089507 390.494017567873 291.389622642382 3.28948755182768e+22 1.8098735416558e+21 3.25791504494291e+18 4405170822842440 5.63281875273125e+21 1.3403433832712e+16 117624514591.508 519020847275089 3.5914731833003e+18 4.57089156425711e+16 2.64612253939287e+22 2549471341079.54 7.37910203590935e+21 3295433235601760 35860869520.5902 48701291804057.4 
3 40 278.15 7.796400000000001 0.5 0.5 24.9980233963 57.3234510811631 1.79621112422199 7702114541840223 452.755201212425 301.499799631772 2.68173242571383e+22 1.89196916976455e+21 8.12829905487246e+18 8511025847295770 7.13662480717998e+21 3.85205404098954e+16 490193269518.714 814600658642266 1.20468084826242e+18 1.93589627506332e+16 1.98102120204259e+22 5471629863194.62 8.31824928895075e+21 8054247900975600 149692218412.681 163592931899235 
5 20 278.15 7.796400000000001 0.5 0.5 24.0612062561 51.6781461470428 1.70157037607497 4074668957565158 426.650044146101 296.765134137075 5.27641934958727e+22 2.67834943400387e+21 2.68872602971431e+18 4668341879097100 4.77869661276474e+21 8108482291159300 25382445053.2868 595722708633187 3.60892081999889e+18 5.73347525695216e+16 4.31295238125882e+22 1175359977760.93 9.807040520818411e+21 2480246259121450 10351368731.5309 25364411866521.8 
5 40 278.15 7.796400000000001 0.5 0.5 29.627495149 52.8501533512138 1.68871764506642 8060468776299826 502.817702939491 310.45660172729 4.25555974321462e+22 2.81774217310892e+21 6.60308723801714e+18 8982056920291460 7.15336019607596e+21 2.49501458555718e+16 127015839195.129 931615698673028 1.22074626049157e+18 2.61641770603648e+16 3.25406645365598e+22 2612564181197.65 1.09452274194168e+22 6157997207828600 44185744791.1192 86914434311980.5 
7.5 40 278.15 7.796400000000001 0.5 0.5 41.283573394 49.8719300349009 1.6309011879531 8318509158037050 550.5641589012311 319.913816375176 6.05673874863046e+22 3.80046663016449e+21 5.46851358132432e+18 9411670308298560 6.13906238081873e+21 1.66863370512773e+16 39390018721.9439 1098457560177530 1.09004078900485e+18 2.76162355105193e+16 4.81944510279554e+22 1541366561803.2 1.28333934605946e+22 4857919068009670 16466451705.5689 51396089220227.8 
7.5 40 278.15 7.796400000000001 0.5 0.5 43.6980101222 49.9183713096451 1.63224087285478 8317376259598058 550.761130736943 319.937782330707 6.07214137511821e+22 3.80606613490196e+21 5.44462848200761e+18 9424267078817030 5.88181337951393e+21 1.63677068808342e+16 37975719146.0156 1111957043036810 1.07130453479774e+18 2.6729911966988e+16 4.82846473433546e+22 1564400257716.12 1.27938944294468e+22 4885577801689970 16403416533.5936 51315055431927.6 
1 20 253.15 7.796400000000001 0.5 0.5 14.2798003074 68.7132843706836 2.1141291212707 3405954247051747 318.062067512747 259.786898083512 1.19130483573062e+22 7.165996059045781e+20 3.91466149831391e+18 3827571309224780 4.48814740482181e+21 2.75154779395735e+16 1675917332178.9 439934213943302 2.36592530904608e+18 1.83168538643908e+16 9.95111383924944e+21 14296249030331.9 3.28673917288658e+21 5026448995988790 373289088573.418 171685355390573 
1 40 253.15 7.796400000000001 0.5 0.5 19.5709431761 69.062097502996 2.09505643235903 6744068648253380 357.129607537405 265.043014064901 9.455065709985279e+21 7.36136341771815e+20 1.01842876104981e+19 7333320895990440 5.72120790396503e+21 7.989071246734541e+16 6624423498827.71 623865118617912 8.67494080620917e+17 7769308902781370 7.21881266467696e+21 26073867999831.4 3.89634625041396e+21 1.16848158388863e+16 1555302910213.16 592213962530987 
1.5 20 253.15 7.796400000000001 0.5 0.5 13.9227858482 62.9818889086604 1.9794941324031 3609609771943466 335.079247917009 261.811239741019 1.77379446851617e+22 1.05097923678585e+21 3.74123241436733e+18 4056732580200850 5.30167654583998e+21 2.16166653258337e+16 634949743665.9 454977643133408 3.68509075309156e+18 3.09447899242425e+16 1.44887314979625e+22 7062105071338.92 4.64023627026334e+21 4301920287676780 154196144929.108 104968328504215 
1.5 40 253.15 7.796400000000001 0.5 0.5 21.2870311765 64.04101203144781 1.96459587123266 7134767693569778 382.662223094124 268.582156095446 1.4356020368437e+22 1.08580242057876e+21 9.676080507544379e+18 7806684446805270 6.41593048370103e+21 6.13141712605052e+16 2485648193812.88 688361113736327 1.21418095625149e+18 1.2702151847088e+16 1.0626855871985e+22 14163589740006.3 5.3563141087698e+21 1.03226652791499e+16 645359665181.691 355480084207216 
2 20 253.15 7.796400000000001 0.5 0.5 14.826844862 59.6723342771008 1.89799361127115 3741963057519358 349.670117401312 263.6337727283 2.35369506414414e+22 1.36249501339771e+21 3.54144166858575e+18 4213866127163340 5.53618668845528e+21 1.74572540859113e+16 299967891246.27 478968326679651 4.46627206591474e+18 4.20492325625075e+16 1.90040499178797e+22 4441531184796.86 5.78253350468287e+21 3851490315832030 80363329943.56799 74054411054822.5 
2 40 253.15 7.796400000000001 0.5 0.5 21.6927742279 60.72843379904 1.88091485348036 7401747142375738 403.277976131886 271.664282622518 1.89238177737228e+22 1.39942027038906e+21 9.12640647518392e+18 8111673009986620 7.01327499522154e+21 5.09312928922487e+16 1249525903241.02 724315672936967 1.42096894198325e+18 1.69912666181106e+16 1.39428142182193e+22 9055282704719.109 6.59890950760758e+21 9223755407391800 341796672918.84 251890444661654 
3 20 253.15 7.796400000000001 0.5 0.5 16.9376109289 55.5926462365961 1.79833576981069 3916437896571334 373.821252047136 266.86328446181 3.45451958411215e+22 1.91258171976018e+21 3.20080863764027e+18 4431543310386330 5.57930348174183e+21 1.25878778462058e+16 100854197726.463 519391826622650 5.11565540610062e+18 5.82549977642384e+16 2.78274586581878e+22 2350449863064.23 7.62062559180359e+21 3214439269111840 31551559117.9732 45637408770594.9 
3 40 253.15 7.796400000000001 0.5 0.5 24.5653340262 56.8470682956525 1.78503326926997 7739911464631125 437.374352960907 277.120151426439 2.78044055525848e+22 1.97122874269604e+21 8.09367866781311e+18 8541936252006400 7.29115395879324e+21 3.7235210176805e+16 444567480436.526 807265968820372 1.54640637115799e+18 2.33127010623322e+16 2.06087131841042e+22 5076943326288.2 8.54864120662508e+21 7856501540183240 135611430553.346 155637865230763 
5 40 253.15 7.796400000000001 0.5 0.5 31.5384006701 52.6004639812176 1.68351779710833 8085096703329372 488.668144930273 286.235609915262 4.40824484888132e+22 2.9214396554383e+21 6.54938764206839e+18 9027111775392250 6.88764895236458e+21 2.35358640261337e+16 111514661187.547 944522312695070 1.46510232024091e+18 2.93904965930486e+16 3.37957432877228e+22 2515283688724.36 1.1107181635167e+22 6070602900965120 40192936738.6495 82854181614857.8 
7.5 40 253.15 7.796400000000001 0.5 0.5 45.0936149321 49.6757579891995 1.62701604132907 8338399523833857 536.995010728032 295.800759847652 6.241993039082e+22 3.92068485349215e+21 5.44148105778169e+18 9448217983058730 5.768274401468e+21 1.56990404016781e+16 34233954652.7062 1114628724482580 1.25155161713834e+18 2.95017037604895e+16 4.97849320207768e+22 1493653883366.94 1.29647960396272e+22 4787338250444970 15125856863.6194 49206758951054.8 
